geoid,county_name,group,is_pre2000,is_buildout,is_hyperscale,near_dc_2000,near_dc_2015,near_dc_2023,dist_nearest_dc_2000_km,dist_nearest_dc_2015_km,dist_nearest_dc_2023_km,med_home_value,med_rent,med_hh_income,renter_ratio,rent_burden,year,post_2015,post_2023,pre2000_x_post_2015,pre2000_x_post_2023,buildout_x_post_2015,buildout_x_post_2023,log_med_home_value,log_med_rent,log_med_hh_income,inv_dist_2023,propensity_score,in_matched_sample
06067005402,Sacramento County,pre2000,1,0,0,True,True,True,8.4,8.4,8.4,112500.0,778.0,31729.0,,0.29424186075829684,2000,0,0,0,0,0,0,11.630708500626612,6.656726524178391,10.364986368165066,0.11904761904761904,0.17714080366305388,True
06067005502,Sacramento County,pre2000,1,0,0,True,True,True,7.43,7.43,7.43,103600.0,583.0,29977.0,,0.2333789238416119,2000,0,0,0,0,0,0,11.54829260880752,6.368187186350492,10.308185699938441,0.13458950201884254,0.22547077609639773,True
06067007106,Sacramento County,pre2000,1,0,0,True,True,True,1.95,1.95,1.95,,,,,,2000,0,0,0,0,0,0,,,,0.5128205128205129,,True
06067007103,Sacramento County,pre2000,1,0,0,True,True,True,2.85,2.58,2.58,,,,,,2000,0,0,0,0,0,0,,,,0.38759689922480617,,True
06067007016,Sacramento County,pre2000,1,0,0,True,True,True,4.8,3.8,3.8,,,,,,2000,0,0,0,0,0,0,,,,0.2631578947368421,,True
06067007020,Sacramento County,pre2000,1,0,0,True,True,True,5.95,4.89,4.89,,,,,,2000,0,0,0,0,0,0,,,,0.20449897750511248,,True
06067005301,Sacramento County,pre2000,1,0,0,True,True,True,6.55,5.99,5.99,,,,,,2000,0,0,0,0,0,0,,,,0.1669449081803005,,True
06067007019,Sacramento County,pre2000,1,0,0,True,True,True,0.59,0.48,0.48,,,,,,2000,0,0,0,0,0,0,,,,2.0833333333333335,,True
06067005505,Sacramento County,pre2000,1,0,0,True,True,True,8.76,8.76,8.76,105000.0,560.0,31341.0,,0.2144156217095817,2000,0,0,0,0,0,0,11.56171562913966,6.327936783729195,10.352682423505618,0.11415525114155252,0.21936604614001493,True
06067002700,Sacramento County,control,0,0,0,False,False,False,11.54,11.01,11.01,80300.0,530.0,18766.0,,0.33891079612064373,2000,0,0,0,0,0,0,11.293524899934853,6.272877006546167,9.839802000849994,0.09082652134423251,0.3379672780269452,True
06067000300,Sacramento County,pre2000,1,0,0,True,True,True,8.63,8.34,8.34,212600.0,811.0,60500.0,,0.1608595041322314,2000,0,0,0,0,0,0,12.267167744889985,6.698268054115413,11.010398644018933,0.11990407673860912,0.05686282972633436,True
06067000400,Sacramento County,pre2000,1,0,0,True,True,True,8.01,7.58,7.58,150000.0,535.0,35012.0,,0.18336570318747858,2000,0,0,0,0,0,0,11.918390573078392,6.282266746896006,10.463446138852328,0.13192612137203166,0.20432275967007474,True
06067000600,Sacramento County,pre2000,1,0,0,True,True,True,7.22,6.56,6.56,188800.0,471.0,17341.0,,0.32593276050977454,2000,0,0,0,0,0,0,12.148443532693538,6.154858094016418,9.760828918798548,0.1524390243902439,0.39926242312798454,True
06067000700,Sacramento County,pre2000,1,0,0,True,True,True,7.71,6.94,6.94,,273.0,9879.0,,0.3316125113877923,2000,0,0,0,0,0,0,,5.60947179518496,9.198166571044474,0.1440922190201729,,True
06067000800,Sacramento County,pre2000,1,0,0,True,True,True,8.33,7.54,7.54,138800.0,807.0,35652.0,,0.27162571524739143,2000,0,0,0,0,0,0,11.840789327054841,6.693323668269949,10.481560525250607,0.13262599469496023,0.1514307702633959,True
06067001400,Sacramento County,buildout,0,1,0,False,True,True,8.63,8.15,8.15,225000.0,462.0,27774.0,,0.19961114711600778,2000,0,0,0,0,0,0,12.323855681186558,6.135564891081739,10.231855610259325,0.12269938650306748,0.30038774590849343,True
06067006705,Sacramento County,pre2000,1,0,0,True,True,True,2.98,2.98,2.98,,,,,,2000,0,0,0,0,0,0,,,,0.33557046979865773,,True
06067006703,Sacramento County,pre2000,1,0,0,True,True,True,2.11,2.11,2.11,,,,,,2000,0,0,0,0,0,0,,,,0.47393364928909953,,True
06067006801,Sacramento County,pre2000,1,0,0,True,True,True,4.59,4.59,4.59,,,,,,2000,0,0,0,0,0,0,,,,0.2178649237472767,,True
06067006803,Sacramento County,pre2000,1,0,0,True,True,True,4.41,4.41,4.41,,,,,,2000,0,0,0,0,0,0,,,,0.22675736961451246,,True
06067006501,Sacramento County,pre2000,1,0,0,True,True,True,4.64,4.64,4.64,,,,,,2000,0,0,0,0,0,0,,,,0.21551724137931036,,True
06067006203,Sacramento County,pre2000,1,0,0,True,True,True,7.86,7.86,7.86,,,,,,2000,0,0,0,0,0,0,,,,0.1272264631043257,,True
06067006901,Sacramento County,pre2000,1,0,0,True,True,True,6.4,6.2,6.2,,,,,,2000,0,0,0,0,0,0,,,,0.16129032258064516,,True
06067007021,Sacramento County,pre2000,1,0,0,True,True,True,1.9,1.58,1.58,,,,,,2000,0,0,0,0,0,0,,,,0.6329113924050632,,True
06067007109,Sacramento County,pre2000,1,0,0,True,True,True,4.27,4.14,4.14,,,,,,2000,0,0,0,0,0,0,,,,0.24154589371980678,,True
06067007017,Sacramento County,pre2000,1,0,0,True,True,True,6.01,4.93,4.93,,,,,,2000,0,0,0,0,0,0,,,,0.20283975659229211,,True
06067007107,Sacramento County,pre2000,1,0,0,True,True,True,7.89,7.22,7.22,,,,,,2000,0,0,0,0,0,0,,,,0.13850415512465375,,True
06067001102,Sacramento County,pre2000,1,0,0,True,True,True,8.22,7.65,7.65,,,,,,2000,0,0,0,0,0,0,,,,0.13071895424836602,,True
06067006902,Sacramento County,pre2000,1,0,0,True,True,True,5.6,5.57,5.57,,,,,,2000,0,0,0,0,0,0,,,,0.17953321364452424,,True
06067006802,Sacramento County,pre2000,1,0,0,True,True,True,5.25,5.25,5.25,,,,,,2000,0,0,0,0,0,0,,,,0.19047619047619047,,True
06067001103,Sacramento County,pre2000,1,0,0,True,True,True,8.13,7.45,7.45,,,,,,2000,0,0,0,0,0,0,,,,0.1342281879194631,,True
06067007111,Sacramento County,pre2000,1,0,0,True,True,True,3.97,3.79,3.79,,,,,,2000,0,0,0,0,0,0,,,,0.2638522427440633,,True
06067007023,Sacramento County,pre2000,1,0,0,True,True,True,3.66,3.04,3.04,,,,,,2000,0,0,0,0,0,0,,,,0.32894736842105265,,True
06067006704,Sacramento County,pre2000,1,0,0,True,True,True,3.23,3.23,3.23,,,,,,2000,0,0,0,0,0,0,,,,0.30959752321981426,,True
06067007024,Sacramento County,pre2000,1,0,0,True,True,True,4.45,3.83,3.83,,,,,,2000,0,0,0,0,0,0,,,,0.2610966057441253,,True
06067007025,Sacramento County,pre2000,1,0,0,True,True,True,3.95,3.15,3.15,,,,,,2000,0,0,0,0,0,0,,,,0.31746031746031744,,True
06067007026,Sacramento County,pre2000,1,0,0,True,True,True,5.89,5.09,5.09,,,,,,2000,0,0,0,0,0,0,,,,0.19646365422396858,,True
06067007110,Sacramento County,pre2000,1,0,0,True,True,True,3.1,2.95,2.95,,,,,,2000,0,0,0,0,0,0,,,,0.3389830508474576,,True
06067007108,Sacramento County,pre2000,1,0,0,True,True,True,4.5,4.26,4.26,,,,,,2000,0,0,0,0,0,0,,,,0.2347417840375587,,True
06067007028,Sacramento County,pre2000,1,0,0,True,True,True,2.65,1.58,1.58,,,,,,2000,0,0,0,0,0,0,,,,0.6329113924050632,,True
06067007022,Sacramento County,pre2000,1,0,0,True,True,True,2.61,1.66,1.66,,,,,,2000,0,0,0,0,0,0,,,,0.6024096385542169,,True
06067007301,Sacramento County,pre2000,1,0,0,True,True,True,8.03,8.03,8.03,,,,,,2000,0,0,0,0,0,0,,,,0.12453300124533002,,True
06067007101,Sacramento County,pre2000,1,0,0,True,True,True,8.35,8.19,8.19,,,,,,2000,0,0,0,0,0,0,,,,0.12210012210012211,,True
06067007105,Sacramento County,pre2000,1,0,0,True,True,True,3.22,3.16,3.16,,,,,,2000,0,0,0,0,0,0,,,,0.3164556962025316,,True
06067006204,Sacramento County,pre2000,1,0,0,True,True,True,7.9,7.9,7.9,,,,,,2000,0,0,0,0,0,0,,,,0.12658227848101264,,True
06067006502,Sacramento County,pre2000,1,0,0,True,True,True,4.39,4.39,4.39,,,,,,2000,0,0,0,0,0,0,,,,0.22779043280182235,,True
06067006706,Sacramento County,pre2000,1,0,0,True,True,True,3.74,3.74,3.74,,,,,,2000,0,0,0,0,0,0,,,,0.267379679144385,,True
06067007027,Sacramento County,pre2000,1,0,0,True,True,True,2.62,1.91,1.91,,,,,,2000,0,0,0,0,0,0,,,,0.5235602094240838,,True
06067003700,Sacramento County,control,0,0,0,False,False,False,13.1,12.56,12.56,71600.0,580.0,21174.0,,0.3287050155851516,2000,0,0,0,0,0,0,11.178850352948738,6.363028103540465,9.960529292903326,0.07961783439490445,0.29846258083372745,True
06067002100,Sacramento County,buildout,0,1,0,False,True,True,9.13,8.34,8.34,114300.0,479.0,19375.0,,0.29667096774193547,2000,0,0,0,0,0,0,11.646581849782901,6.171700597410915,9.871738854221547,0.11990407673860912,0.3541304819451017,True
06067007206,Sacramento County,pre2000,1,0,0,True,True,True,8.4,8.4,8.4,122900.0,784.0,50952.0,,0.18464437117286858,2000,0,0,0,0,0,0,11.719126295554126,6.664409020350408,10.838639292051202,0.11904761904761904,0.0806492732426689,True
06067007207,Sacramento County,pre2000,1,0,0,True,True,True,8.09,8.09,8.09,115200.0,705.0,45938.0,,0.1841612608298141,2000,0,0,0,0,0,0,11.654425027243928,6.558197802812269,10.7350479402497,0.12360939431396786,0.10774844834393583,True
06067007204,Sacramento County,pre2000,1,0,0,True,True,True,3.94,3.94,3.94,119500.0,861.0,47120.0,,0.21926994906621392,2000,0,0,0,0,0,0,11.691071650353702,6.7580945044277305,10.760452818325469,0.25380710659898476,0.0871958614212182,True
06067007209,Sacramento County,pre2000,1,0,0,True,True,True,5.77,5.77,5.77,111300.0,614.0,42895.0,,0.1717682713602984,2000,0,0,0,0,0,0,11.619984537263637,6.419994928147142,10.666510548007066,0.1733102253032929,0.1337382590275274,True
06067007208,Sacramento County,pre2000,1,0,0,True,True,True,4.2,4.2,4.2,114200.0,706.0,43862.0,,0.19315124709315581,2000,0,0,0,0,0,0,11.645706576204047,6.559615237493242,10.68880362056745,0.23809523809523808,0.1172433520710469,True
06067007413,Sacramento County,pre2000,1,0,0,True,True,True,8.72,8.72,8.72,74100.0,603.0,25966.0,,0.2786721096818917,2000,0,0,0,0,0,0,11.213170811284177,6.401917196727186,10.164543268920198,0.1146788990825688,0.24901317408227566,True
06067006101,Sacramento County,pre2000,1,0,0,True,True,True,8.92,8.92,8.92,140500.0,535.0,36557.0,,0.1756161610635446,2000,0,0,0,0,0,0,11.852962767755937,6.282266746896006,10.506627965308457,0.11210762331838565,0.191049458886853,True
06067006202,Sacramento County,pre2000,1,0,0,True,True,True,6.94,6.94,6.94,81800.0,498.0,24180.0,,0.24714640198511167,2000,0,0,0,0,0,0,11.312032522590838,6.210600077024653,10.093281124168783,0.1440922190201729,0.2916977954215427,True
06067006300,Sacramento County,pre2000,1,0,0,True,True,True,6.04,6.04,6.04,83500.0,548.0,30244.0,,0.21743155667239783,2000,0,0,0,0,0,0,11.332601910838946,6.306275286948016,10.31705309667816,0.16556291390728478,0.22636997522901722,True
06067006400,Sacramento County,pre2000,1,0,0,True,True,True,6.07,6.07,6.07,70300.0,601.0,28167.0,,0.2560443071679625,2000,0,0,0,0,0,0,11.160527077798756,6.398594934535208,10.245906358926657,0.16474464579901152,0.22981467573448208,True
06067006600,Sacramento County,pre2000,1,0,0,True,True,True,5.04,5.04,5.04,74600.0,528.0,22272.0,,0.28448275862068967,2000,0,0,0,0,0,0,11.219895786191852,6.269096283706261,10.011085563134147,0.1984126984126984,0.3012477428328543,True
06067007001,Sacramento County,pre2000,1,0,0,True,True,True,3.33,3.25,3.25,79800.0,452.0,21302.0,,0.2546239789691109,2000,0,0,0,0,0,0,11.2872787834379,6.113682179832232,9.966556244003112,0.3076923076923077,0.3317927860451724,True
06067007007,Sacramento County,pre2000,1,0,0,True,True,True,4.42,3.91,3.91,102600.0,713.0,45297.0,,0.18888668123716804,2000,0,0,0,0,0,0,11.538593211718807,6.569481420414296,10.72099608411258,0.2557544757033248,0.10831564068959897,True
06067007010,Sacramento County,pre2000,1,0,0,True,True,True,5.02,4.04,4.04,217600.0,827.0,50365.0,,0.19704159634666932,2000,0,0,0,0,0,0,12.290413793963925,6.717804695023691,10.827051768376782,0.24752475247524752,0.08741953874710459,True
06067007011,Sacramento County,pre2000,1,0,0,True,True,True,4.03,3.09,3.09,131900.0,675.0,38397.0,,0.21095398077974842,2000,0,0,0,0,0,0,11.789799338705405,6.51471269087253,10.555734610523901,0.3236245954692557,0.15383968958809266,True
06067007012,Sacramento County,pre2000,1,0,0,True,True,True,3.51,2.67,2.67,113000.0,740.0,50384.0,,0.17624642743728167,2000,0,0,0,0,0,0,11.635143097694478,6.606650186198215,10.827428943340806,0.37453183520599254,0.08575405908982638,True
06067007013,Sacramento County,pre2000,1,0,0,True,True,True,2.84,2.25,2.25,119200.0,729.0,47031.0,,0.18600497544172992,2000,0,0,0,0,0,0,11.688558033613386,6.591673732008658,10.75856223773664,0.4444444444444444,0.10075269622761102,True
06067007202,Sacramento County,pre2000,1,0,0,True,True,True,6.75,6.75,6.75,121800.0,667.0,37095.0,,0.21577031945006064,2000,0,0,0,0,0,0,11.710135634257934,6.502790045915623,10.521237468623626,0.14814814814814814,0.16164132081878202,True
06067000100,Sacramento County,pre2000,1,0,0,True,True,True,9.55,9.47,9.47,184400.0,716.0,53318.0,,0.1611463295697513,2000,0,0,0,0,0,0,12.12486259010463,6.573680166960646,10.884029264211806,0.10559662090813093,0.08375964750552128,True
06067000501,Sacramento County,pre2000,1,0,0,True,True,True,7.35,6.76,6.76,,,,,,2000,0,0,0,0,0,0,,,,0.14792899408284024,,True
06067000502,Sacramento County,pre2000,1,0,0,True,True,True,7.58,7.04,7.04,,,,,,2000,0,0,0,0,0,0,,,,0.14204545454545456,,True
06067005402,Sacramento County,pre2000,1,0,0,True,True,True,8.4,8.4,8.4,,1114.0,40349.0,0.9937673130193906,0.33130932612951997,2015,1,0,1,0,0,0,,7.01571242048723,10.605321890243529,0.11904761904761904,0.17714080366305388,True
06067005502,Sacramento County,pre2000,1,0,0,True,True,True,7.43,7.43,7.43,153800.0,795.0,30424.0,0.6527707168276563,0.31356823560347097,2015,1,0,1,0,0,0,11.94340833605368,6.678342114654332,10.322987049608095,0.13458950201884254,0.22547077609639773,True
06067007106,Sacramento County,pre2000,1,0,0,True,True,True,1.95,1.95,1.95,321600.0,1416.0,97365.0,0.39180255619215515,0.174518564165768,2015,1,0,1,0,0,0,12.68106381628695,7.255591274253665,11.48622208213568,0.5128205128205129,,True
06067007103,Sacramento County,pre2000,1,0,0,True,True,True,2.85,2.58,2.58,219400.0,1354.0,71344.0,0.7448979591836735,0.22774164610899306,2015,1,0,1,0,0,0,12.298651826823267,7.21081845347222,11.175268526867258,0.38759689922480617,,True
06067007016,Sacramento County,pre2000,1,0,0,True,True,True,4.8,3.8,3.8,260000.0,1399.0,76964.0,0.45066358915175997,0.2181279559274466,2015,1,0,1,0,0,0,12.468436909997665,7.243512974665482,11.251093059040906,0.2631578947368421,,True
06067007020,Sacramento County,pre2000,1,0,0,True,True,True,5.95,4.89,4.89,264200.0,1333.0,84053.0,0.39977024698449165,0.19030849583001203,2015,1,0,1,0,0,0,12.484461671070362,7.195187320178709,11.339202831239637,0.20449897750511248,,True
06067005301,Sacramento County,pre2000,1,0,0,True,True,True,6.55,5.99,5.99,185000.0,261.0,11572.0,0.9111111111111111,0.270653301071552,2015,1,0,1,0,0,0,12.128111104060462,5.564520407322694,9.356343666096025,0.1669449081803005,,True
06067007019,Sacramento County,pre2000,1,0,0,True,True,True,0.59,0.48,0.48,,908.0,19592.0,0.9904761904761905,0.5561453654552879,2015,1,0,1,0,0,0,,6.811244378601294,9.882876598632004,2.0833333333333335,,True
06067005505,Sacramento County,pre2000,1,0,0,True,True,True,8.76,8.76,8.76,173900.0,764.0,31285.0,0.7658257972394098,0.29304778647914337,2015,1,0,1,0,0,0,12.066235700342375,6.638567789166521,10.350894028432464,0.11415525114155252,0.21936604614001493,True
06067002700,Sacramento County,control,0,0,0,False,False,False,11.54,11.01,11.01,176300.0,873.0,31747.0,0.6807795698924731,0.3299839354899676,2015,1,0,0,0,0,0,12.07994236838596,6.771935555839602,10.36555351166757,0.09082652134423251,0.3379672780269452,True
06067000300,Sacramento County,pre2000,1,0,0,True,True,True,8.63,8.34,8.34,462300.0,1383.0,93813.0,0.2817080943275972,0.1769051197595216,2015,1,0,1,0,0,0,13.043969309976317,7.232010331664759,11.44905871814176,0.11990407673860912,0.05686282972633436,True
06067000400,Sacramento County,pre2000,1,0,0,True,True,True,8.01,7.58,7.58,395600.0,912.0,53806.0,0.7232789855072463,0.2033973906255808,2015,1,0,1,0,0,0,12.888158878730694,6.815639990074331,10.893140264095088,0.13192612137203166,0.20432275967007474,True
06067000600,Sacramento County,pre2000,1,0,0,True,True,True,7.22,6.56,6.56,370000.0,858.0,30000.0,0.9312714776632303,0.3432,2015,1,0,1,0,0,0,12.821258284620408,6.754604099487962,10.308952660644293,0.1524390243902439,0.39926242312798454,True
06067000700,Sacramento County,pre2000,1,0,0,True,True,True,7.71,6.94,6.94,,501.0,12068.0,1.0,0.4981769970169042,2015,1,0,1,0,0,0,,6.2166061010848646,9.398312600278953,0.1440922190201729,,True
