geoid,county_name,near_dc_2km_2000,near_dc_2km_2015,near_dc_2km_2023,near_dc_4km_2000,near_dc_4km_2015,near_dc_4km_2023,near_dc_6km_2000,near_dc_6km_2015,near_dc_6km_2023,near_dc_8km_2000,near_dc_8km_2015,near_dc_8km_2023,dist_nearest_dc_2000_km,dist_nearest_dc_2015_km,dist_nearest_dc_2023_km,group,is_buildout,med_home_value,med_rent,med_hh_income,year,renter_ratio,rent_burden,post_2015,post_2023,buildout_x_post_2015,buildout_x_post_2023,log_med_home_value,log_med_rent,log_med_hh_income,inv_dist_2023,data_source
06067004203,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,18.079,17.474,17.474,control,0,84100.0,538.0,26835.0,2000,,,0,0,0,0,11.33976184596104,6.2878585601617845,10.197462284610928,0.05722788142382969,FHFA_HPI
06067005502,Sacramento County,False,False,False,False,False,False,False,False,False,True,True,True,7.427,7.427,7.427,buildout,1,103600.0,583.0,29977.0,2000,,,0,0,0,0,11.54829260880752,6.368187186350492,10.308185699938441,0.13464386697185943,FHFA_HPI
06067004402,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,13.362,12.878,12.878,control,0,76700.0,559.0,23167.0,2000,,,0,0,0,0,11.247656987355347,6.326149473155099,10.05048413127047,0.07765180928715638,FHFA_HPI
06067004602,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,14.974,14.467,14.467,control,0,81900.0,565.0,27652.0,2000,,,0,0,0,0,11.313254269841162,6.336825731146441,10.227453337065155,0.06912283127116886,FHFA_HPI
06067004904,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,18.427,17.947,17.947,control,0,107100.0,634.0,41804.0,2000,,,0,0,0,0,11.58151825643584,6.452048954437226,10.640747307714394,0.05571961887780688,FHFA_HPI
06067003101,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,14.866,14.621,14.621,control,0,80800.0,698.0,40673.0,2000,,,0,0,0,0,11.299732244509187,6.548219102762372,10.613319760626345,0.06839477463921756,FHFA_HPI
06067002700,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,11.537,11.007,11.007,control,0,80300.0,530.0,18766.0,2000,,,0,0,0,0,11.293524899934853,6.272877006546167,9.839802000849994,0.09085127646043427,FHFA_HPI
06067000400,Sacramento County,False,False,False,False,False,False,False,False,False,False,True,True,8.007,7.575,7.575,buildout,1,150000.0,535.0,35012.0,2000,,,0,0,0,0,11.918390573078392,6.282266746896006,10.463446138852328,0.132013201320132,FHFA_HPI
06067000600,Sacramento County,False,False,False,False,False,False,False,False,False,True,True,True,7.223,6.56,6.56,buildout,1,188800.0,471.0,17341.0,2000,,,0,0,0,0,12.148443532693538,6.154858094016418,9.760828918798548,0.1524390243902439,FHFA_HPI
06067000800,Sacramento County,False,False,False,False,False,False,False,False,False,False,True,True,8.326,7.543,7.543,buildout,1,138800.0,807.0,35652.0,2000,,,0,0,0,0,11.840789327054841,6.693323668269949,10.481560525250607,0.13257324671881215,FHFA_HPI
06067007903,Sacramento County,False,False,False,False,False,False,False,False,False,False,False,False,14.932,14.932,14.932,control,0,161300.0,764.0,58068.0,2000,,,0,0,0,0,11.9910212641133,6.638567789166521,10.969370016581319,0.0669702652022502,FHFA_HPI
