GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GMY001,GBO001,GCL001
"G0600010400100","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400100","400100",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"6799198","0","Census Tract 4001","S","+37860659","-122229488",,,,133272,1913,690600
"G0600010400200","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400200","400200",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"659615","0","Census Tract 4002","S","+37848476","-122250632",,,,82729,917,474500
"G0600010400300","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400300","400300",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"1074640","0","Census Tract 4003","S","+37840626","-122255531",,,,58663,785,396400
"G0600010400400","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400400","400400",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"696057","0","Census Tract 4004","S","+37848176","-122258791",,,,58405,898,392400
"G0600010400500","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400500","400500",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"576343","0","Census Tract 4005","S","+37848626","-122264679",,,,40781,749,240500
"G0600010400600","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400600","400600",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"315297","0","Census Tract 4006","S","+37841776","-122264282",,,,42237,711,271000
"G0600010400700","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400700","400700",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"852890","0","Census Tract 4007","S","+37842976","-122273712",,,,30587,679,186000
"G0600010400800","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400800","400800",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"726605","0","Census Tract 4008","S","+37844714","-122283764",,,,32981,678,168400
"G0600010400900","2000","CA","4","9","California","06","Alameda","001",,,,,"0","400900","400900",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"431231","0","Census Tract 4009","S","+37839626","-122281850",,,,29338,717,139900
"G0600010401000","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401000","401000",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"1166661","0","Census Tract 4010","S","+37831977","-122273213",,,,27290,610,164800
"G0600010401100","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401100","401100",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"880448","0","Census Tract 4011","S","+37830777","-122265640",,,,33034,707,259700
"G0600010401200","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401200","401200",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"660659","0","Census Tract 4012","S","+37830177","-122258420",,,,46343,798,313700
"G0600010401300","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401300","401300",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"839208","0","Census Tract 4013","S","+37818927","-122267396",,,,18644,529,325000
"G0600010401400","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401400","401400",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"755108","0","Census Tract 4014","S","+37820495","-122272732",,,,19824,608,144000
"G0600010401500","2000","CA","4","9","California","06","Alameda","001",,,,,"0","401500","401500",,,,,,,,,,,"7362","84","N","5775","9999","9",,,,,,,,,"468490","0","Census Tract 4015","S","+37823260","-122281229",,,,26912,612,168300
