buffer_km,outcome,term,coef,se,p,ci_lo,ci_hi,n_buildout,n_control
2,med_home_value,buildout_x_post_2015,42800.833333333336,58399.168113635074,0.46778830039562713,-75138.6793118463,160740.34597851295,15,8
2,med_home_value,buildout_x_post_2023,14642.32142857137,112252.56922149185,0.896855555102162,-212056.341151538,241340.98400868074,15,8
2,med_rent,buildout_x_post_2015,148.06666666666675,229.49690108684598,0.522319966200183,-315.0768302702314,611.2101636035649,15,8
2,med_rent,buildout_x_post_2023,290.0333333333335,352.2785284747547,0.41498402090518827,-420.8935192773751,1000.960185944042,15,8
4,med_home_value,buildout_x_post_2015,12834.494087213552,47693.16445771748,0.7881152262445785,-81189.46329914624,106858.45147357334,67,43
4,med_home_value,buildout_x_post_2023,97820.08550514512,88299.41006194937,0.26921782798602845,-76256.43181770582,271896.6028279961,67,43
4,med_rent,buildout_x_post_2015,-0.2695699244640782,80.58977017290071,0.9973342254589168,-159.12097316455421,158.58183331562608,67,43
4,med_rent,buildout_x_post_2023,91.11605818686697,117.06302210918695,0.4372221718970559,-139.62818254833059,321.8602989220645,67,43
6,med_home_value,buildout_x_post_2015,-10166.74430688296,37347.74543219965,0.785608000527833,-83610.51040870088,63277.02179493496,120,68
6,med_home_value,buildout_x_post_2023,93532.30295237529,60233.86246762863,0.12133292921994121,-24916.659770487517,211981.2656752381,120,68
6,med_rent,buildout_x_post_2015,63.69215686274544,58.95219052493042,0.2806643344554609,-52.23018097505662,179.6144947005475,120,68
6,med_rent,buildout_x_post_2023,146.54355742296886,96.87162604221226,0.13119189495165018,-43.94275463720217,337.0298694831399,120,68
8,med_home_value,buildout_x_post_2015,17223.701934187,27966.926415957998,0.538251031793181,-37715.69079006753,72163.09465844154,196,77
8,med_home_value,buildout_x_post_2023,134591.4225458028,50831.6197707247,0.008342836791210395,34735.67580202306,234447.16928958255,196,77
8,med_rent,buildout_x_post_2015,64.52262432448504,44.9074785047586,0.15135781003114035,-23.692502034620915,152.737750683591,196,77
8,med_rent,buildout_x_post_2023,160.03945247842194,71.51610005070309,0.025641160763275828,19.555016194279915,300.52388876256396,196,77
