buffer_km,outcome,term,n_buildout,n_control,coef,se,p,ci_lo,ci_hi
2,med_home_value,buildout_x_post_2015,15,8,-6593.357142857144,96808.65455317509,0.9461844159678305,-204896.89651716966,191710.1822314554
2,med_home_value,buildout_x_post_2023,15,8,26846.363095238074,90172.74387160434,0.7681136438524523,-157864.12944662958,211556.85563710573
2,med_rent,buildout_x_post_2015,15,8,148.06666666666675,229.49690108684598,0.522319966200183,-315.0768302702314,611.2101636035649
2,med_rent,buildout_x_post_2023,15,8,290.0333333333335,352.2785284747547,0.41498402090518827,-420.8935192773751,1000.960185944042
4,med_home_value,buildout_x_post_2015,67,43,22782.214387464424,80054.53415930479,0.7765030729667828,-135883.2697184331,181447.69849336194
4,med_home_value,buildout_x_post_2023,67,43,11819.065069189997,93684.49015840192,0.8998391252425024,-173860.5487128024,197498.6788511824
4,med_rent,buildout_x_post_2015,67,43,-0.2695699244640782,80.58977017290071,0.9973342254589168,-159.12097316455421,158.58183331562608
4,med_rent,buildout_x_post_2023,67,43,91.11605818686697,117.06302210918695,0.4372221718970559,-139.62818254833059,321.8602989220645
6,med_home_value,buildout_x_post_2015,120,68,14879.247126436794,58984.24803227938,0.8011129145511127,-101464.94011206484,131223.43436493844
6,med_home_value,buildout_x_post_2023,120,68,-47496.90421455942,72166.10247227576,0.5112272751772036,-189841.79829055988,94847.98986144105
6,med_rent,buildout_x_post_2015,120,68,63.69215686274544,58.95219052493042,0.2806643344554609,-52.23018097505662,179.6144947005475
6,med_rent,buildout_x_post_2023,120,68,146.54355742296886,96.87162604221226,0.13119189495165018,-43.94275463720217,337.0298694831399
8,med_home_value,buildout_x_post_2015,196,77,43370.63034825863,40995.8891758655,0.2909694536722176,-37316.57257101997,124057.83326753724
8,med_home_value,buildout_x_post_2023,196,77,15531.953765929713,56359.25082291864,0.783060512661439,-95393.0779615069,126456.98549336634
8,med_rent,buildout_x_post_2015,196,77,64.52262432448504,44.9074785047586,0.15135781003114035,-23.692502034620915,152.737750683591
8,med_rent,buildout_x_post_2023,196,77,160.03945247842194,71.51610005070309,0.025641160763275828,19.555016194279915,300.52388876256396
